Town/City,Clerk,Address,Phone (area code 603),Fax,E-Mail,Town Website Address,Polling Place,Polling Hours,ElectionName,,
SUGAR HILL,LISSA MACK BOISSONNEAULT,PO BOX 574 SUGAR HILL 03586,823-8516,823-8446,townclerk@sugarhillnh.org,www.sugarhillnh.org,Carolina Crapo Building 1411 Route 117 Sugar Hill 03586,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SULLIVAN,MARY M HULL,PO BOX 110 SULLIVAN 03445,847-3316,847-9154,sullivantownclerk@myfairpoint.net,www.ci.sullivan.nh.us,Sullivan Town Hall 452 Centre St Sullivan 03445,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SUNAPEE,BETTY H RAMSPOTT,PO BOX 303 SUNAPEE 03782,763-2449,763-4608,betty@town.sunapee.nh.us,www.town.sunapee.nh.us,Sherburne Gymnasium 561 Route 11 Sunapee 03782,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SURRY,DARLENE ALICE CLARK,358 POND RD SURRY 03431,352-3075,357-4890,surrytown@hotmail.com,http://surry.nh.gov/,Surry Town Hall 1 Village Rd Surry 03431,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SUTTON,LINDA  PALMER,93 MAIN STREET SUTTON MILLS 03221,927-4575,927-4646,lfordtctc@hotmail.com,www.sutton-nh.gov,Sutton Town Hall 93 Main St Sutton 03221,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
SWANZEY,RONALD F FONTAINE,PO BOX 10009 SWANZEY 03446,352-7411,352-6250,dmunson@town.swanzey.nh.us,www.town.swanzey.nh.us,Christian Life Fellowship Church 211 Whitcomb Rd Swanzey 03446,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
TAMWORTH,KIM  TRAMMELL,84 MAIN STREET TAMWORTH 03886,323-7971,323-2347,tctx@tamworthnh.org,www.tamworthnh.org,Tamworth Town House 27 Cleveland Hill Rd Tamworth 03886,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
TEMPLE,WENDY  DROUIN,PO BOX 69 TEMPLE 03084,878-3873,878-5067,templeclerk@comcast.net,http://templenh.org,Temple Town Hall 19 Main St Temple 03084,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
THORNTON,BROOK J ROSE,16 MERRILL ACCESS RD. THORNTON 03285,726-4232,726-2078,townclerk@thorntonnh.org,www.thorntonnh.org,Thornton Town Office Building 16 Merrill Access Rd Thornton 03285,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
TILTON,CINDY  REINARTZ,257 MAIN ST TILTON 03276,286-4425,286-3519,tctc@tiltonnh.org,www.tiltonnh.org,Winnisquam High School 435 W Main St Tilton 03276,,9/13/2016,2016 STATE PRIMARY ELECTION,
TROY,MARCY R JOHNSON,PO BOX 249 TROY 03465,242-3845,242-3430,taxcollector@troy-nh.us,none available,Community  Center 61 South St Troy 03465,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
TUFTONBORO,HEATHER K CUBEDDU,PO BOX 98 CTR TUFTONBORO 03816,569-4539,569-4328,townclerk@tuftonboro.org,www.tuftonboro.org,Tuftonboro Town House 247 Middle Rd Tuftonboro 03816,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
UNITY,ROSEMARY  HEINO,13 CENTER ROAD UNITY 03603,542-9665,542-9736,townofunity@myfairpoint.net,,Town Hall 896 2Nd Nh Tpke Unity 03603,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WAKEFIELD,VALERIE  WARD,2 HIGH ST SANBORNVILLE 03872,522-6205,522-6794,townclerk@wakefieldnh.com,www.wakefieldnh.com,Wakefield Town Hall Opera House 2 High St Wakefield 03872,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WALPOLE WARD 01,SANDRA JEAN SMITH,PO BOX 756 WALPOLE 03608,756-3514,756-4153,ssmith@walpolenh.us,www.walpolenh.us,WARD 01 - Walpole Town Hall 34 Elm St Walpole 03608,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WALPOLE WARD 02,SANDRA JEAN SMITH,PO BOX 756 WALPOLE 03608,756-3514,756-4153,ssmith@walpolenh.us,www.walpolenh.us,WARD 02 - St Peters Church 38 Church St Walpole 03609,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WARNER,JUDITH A NEWMAN-ROGERS,PO BOX 265 WARNER 03278,456-2298,456-3576,townclerk@warner.nh.us,www.warner.nh.us,Warner Town Hall 5 East Main St Warner 03278,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WARREN,SUZANNE M FLAGG,PO BOX 40 WARREN 03279,764-7705,764-9296,warrentownclerk@gmail.com,www.warren-nh.com,Town Hall 21 Water St Warren 03279,9:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WASHINGTON,SANDRA  POOLE,2766 EAST WASHINGTON RD WASHINGTON 03280,495-3667,496-1739,spoole@washingtonnh.org,www.washingtonnh.org,Camp Morgan Lodge 338 Millen Pond Rd Washington 03280,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WATERVILLE VALLEY,REGGIE  BREECKNER,PO BOX 500 WATERVILLE VALLEY 03215,236-4730,236-2056,wvtownclerk@watervillevalley.org,www.watervillevalley.org,Recreation Department 11 Noon Peak Rd Waterville Valley 03215,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WEARE,MAUREEN  BILLODEAU,15 FLANDERS MEMORIAL RD WEARE 03281,529-7575,529-7571,mbillodeau@weare.nh.gov,www.weare.nh.gov,Weare Middle School 16 East Rd Weare 03281,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WEBSTER,MICHELE R DERBY,945 BATTLE ST WEBSTER 03303,648-2538,648-6055,townclerk@webster-nh.gov,www.webster-nh.gov,Webster Town Hall 945 Battle St Webster 03303,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WENTWORTH,DONNA J KING,P.O. BOX 2 WENTWORTH 03282,764-5244,764-9362,townclerk@wentworth-nh.org,www.wentworth-nh.org,Wentworth Elementary School 1247 Mount Moosilauke Hwy Wentworth 03282,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WENTWORTH'S LOCATION,YVETTE  BILODEAU,PO BOX 100 ERROL 03579,482-3351,237-5069,erroltownclerk@gmail.com,none available,Errol Town Hall 33 Main St Wentworth's Location 03579,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WESTMORELAND,CINDI  ADLER,PO BOX 111 WESTMORELAND 03467,399-7211,399-7211,cadlertownclerk@gmail.com,www.westmorelandnh.com,Westmoreland Town Hall 780 Route 63 Westmoreland 03467,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WHITEFIELD,TINA L WRIGHT,56 LITTLETON ROAD WHITEFIELD 03598,837-9871,837-3148,whitefieldtownclerk@ne.rr.com,www.whitefieldnh.org,Cd Mcintyre Auditorium 16 Highland St Whitefield 03598,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WILMOT,RHONDA LEE GAUTHIER,PO BOX 94 WILMOT 03287,526-9639,526-4067,townofwilmot_tc@comcast.net,www.wilmotnh.org,Wilmot Town Hall 9 North Wilmot Rd Wilmot 03287,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WILTON,JANE  FARRELL,PO BOX 83 WILTON 03086,654-9451,654-6663,jfarrell@wiltonnh.org,www.ci.wilton.nh.us,Wilton Town Hall 42 Main St Wilton 03086,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WINCHESTER,JAMES M TETREAULT,PO BOX 512 WINCHESTER 03470,239-6233,239-4146,jtetreault@winchester.nh.gov,www.winchester-nh.gov,Town Hall 1 Richmond Rd Winchester 03470,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WINDHAM,NICOLE L BOTTAI,3 NORTH LOWELL ROAD WINDHAM 03087,434-5075,965-1275,nbottai@windhamnh.gov,www.windhamnh.gov,Windham High School 64 London Bridge Rd Windham 03087,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WINDSOR,GLORIA J. LANDRY,14 WHITE POND ROAD WINDSOR 03244,478-3292,478-3293,windsor.nhtownclerk@gsinet.net,windsornh.org,Windsor Town Hall 14 White Pond Rd Windsor 03244,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WOLFEBORO,PATRICIA M WATERMAN,PO BOX 1207 WOLFEBORO 03894,569-5328,569-8167,townclerk@wolfeboronh.us,www.wolfeboronh.us,All Saints Church 258 S Main St Wolfeboro 03894,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
WOODSTOCK,JUDY LYNN WELCH,PO BOX 156 N WOODSTOCK 03262,745-8752,745-2393,townclerk@woodstocknh.org,www.woodstocknh.org,Woodstock Town Hall 924 Daniel Webster Hwy Woodstock 03262,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
